Field ID,Year,Month,Monthly_constituents,YearlyCon,Monthly_Cost,Annual_Cost
16,2014,July,1,11,293.8165549,619.8915
17,2014,April,2,11,49.83042719,619.8915
17,2014,April,2,11,49.83042719,619.8915
17,2014,May,4,11,164.2583024,619.8915
17,2014,May,4,11,164.2583024,619.8915
17,2014,June,4,11,164.2583024,619.8915
17,2014,July,2,11,111.9862154,619.8915
17,2014,July,2,11,111.9862154,619.8915
17,2014,July,1,11,293.8165549,619.8915
18,2014,April,2,11,49.83042719,619.8915
18,2014,April,2,11,49.83042719,619.8915
18,2014,May,4,11,164.2583024,619.8915
18,2014,May,4,11,164.2583024,619.8915
18,2014,June,4,11,164.2583024,619.8915
18,2014,July,2,11,111.9862154,619.8915
18,2014,July,2,11,111.9862154,619.8915
18,2014,July,1,11,293.8165549,619.8915
19,2014,April,2,11,49.83042719,619.8915
19,2014,April,2,11,49.83042719,619.8915
19,2014,May,4,11,164.2583024,619.8915
19,2014,May,4,11,164.2583024,619.8915
19,2014,June,4,11,164.2583024,619.8915
19,2014,July,2,11,111.9862154,619.8915
19,2014,July,2,11,111.9862154,619.8915
19,2014,July,1,11,293.8165549,619.8915
20,2014,April,2,11,49.83042719,619.8915
20,2014,April,2,11,49.83042719,619.8915
20,2014,May,4,11,164.2583024,619.8915
20,2014,May,4,11,164.2583024,619.8915
20,2014,June,4,11,164.2583024,619.8915
20,2014,July,2,11,111.9862154,619.8915
20,2014,July,2,11,111.9862154,619.8915
20,2014,July,1,11,293.8165549,619.8915
21,2014,April,2,11,49.83042719,619.8915
21,2014,April,2,11,49.83042719,619.8915
21,2014,May,4,11,164.2583024,619.8915
21,2014,May,4,11,164.2583024,619.8915
21,2014,June,4,11,164.2583024,619.8915
21,2014,July,2,11,111.9862154,619.8915
21,2014,July,2,11,111.9862154,619.8915
21,2014,July,1,11,293.8165549,619.8915
22,2014,April,2,11,49.83042719,619.8915
22,2014,April,2,11,49.83042719,619.8915
22,2014,May,4,11,164.2583024,619.8915
22,2014,May,4,11,164.2583024,619.8915
22,2014,June,4,11,164.2583024,619.8915
22,2014,July,2,11,111.9862154,619.8915
22,2014,July,2,11,111.9862154,619.8915
22,2014,July,1,11,293.8165549,619.8915
23,2014,April,2,11,49.83042719,619.8915
23,2014,April,2,11,49.83042719,619.8915
23,2014,May,4,11,164.2583024,619.8915
23,2014,May,4,11,164.2583024,619.8915
23,2014,June,4,11,164.2583024,619.8915
23,2014,July,2,11,111.9862154,619.8915
23,2014,July,2,11,111.9862154,619.8915
23,2014,July,1,11,293.8165549,619.8915
24,2014,March,1,4,27.03696088,63.08624205
24,2014,April,1,4,36.04928117,63.08624205
25,2014,March,3,10,27.03696088,681.5423949
25,2014,April,1,10,36.04928117,681.5423949
25,2014,May,1,10,121.6627831,681.5423949
25,2014,June,3,10,326.7925554,681.5423949
25,2014,June,3,10,326.7925554,681.5423949
25,2014,June,3,10,326.7925554,681.5423949
25,2014,July,2,10,170.0008143,681.5423949
25,2014,July,2,10,170.0008143,681.5423949
26,2014,April,4,9,134.8795337,161.6129119
26,2014,April,4,9,134.8795337,161.6129119
26,2014,May,4,9,134.8795337,161.6129119
26,2014,May,4,9,134.8795337,161.6129119
26,2014,June,1,9,26.73337811,161.6129119
27,2014,April,4,17,89.5160374,1131.950133
27,2014,May,4,17,89.5160374,1131.950133
27,2014,May,2,17,116.7022578,1131.950133
27,2014,May,2,17,116.7022578,1131.950133
27,2014,June,3,17,177.094569,1131.950133
27,2014,June,3,17,177.094569,1131.950133
27,2014,June,3,17,177.094569,1131.950133
27,2014,July,6,17,748.6372684,1131.950133
27,2014,July,6,17,748.6372684,1131.950133
27,2014,August,6,17,748.6372684,1131.950133
27,2014,August,6,17,748.6372684,1131.950133
27,2014,August,6,17,748.6372684,1131.950133
27,2014,August,6,17,748.6372684,1131.950133
28,2014,April,4,17,89.5160374,1131.950133
28,2014,May,4,17,89.5160374,1131.950133
28,2014,May,2,17,116.7022578,1131.950133
28,2014,May,2,17,116.7022578,1131.950133
28,2014,June,3,17,177.094569,1131.950133
28,2014,June,3,17,177.094569,1131.950133
28,2014,June,3,17,177.094569,1131.950133
28,2014,July,6,17,748.6372684,1131.950133
28,2014,July,6,17,748.6372684,1131.950133
28,2014,August,6,17,748.6372684,1131.950133
28,2014,August,6,17,748.6372684,1131.950133
28,2014,August,6,17,748.6372684,1131.950133
28,2014,August,6,17,748.6372684,1131.950133
29,2014,March,1,6,18.02464059,98.14103417
29,2014,April,1,6,18.02464059,98.14103417
29,2014,May,3,6,44.06711242,98.14103417
29,2014,June,1,6,18.02464059,98.14103417
30,2014,April,1,12,18.02464059,676.5237332
30,2014,May,4,12,303.8756968,676.5237332
30,2014,May,4,12,303.8756968,676.5237332
30,2014,June,4,12,303.8756968,676.5237332
30,2014,June,4,12,303.8756968,676.5237332
30,2014,June,3,12,303.8756968,676.5237332
30,2014,June,3,12,130.010856,676.5237332
30,2014,June,3,12,130.010856,676.5237332
30,2014,July,2,12,224.6125398,676.5237332
30,2014,July,2,12,224.6125398,676.5237332
31,2014,April,3,19,6.356478492,1733.358983
31,2014,May,5,19,401.3594129,1733.358983
31,2014,May,5,19,401.3594129,1733.358983
31,2014,May,5,19,401.3594129,1733.358983
31,2014,May,5,19,401.3594129,1733.358983
31,2014,June,5,19,401.3594129,1733.358983
31,2014,June,6,19,743.9480168,1733.358983
31,2014,June,6,19,743.9480168,1733.358983
31,2014,June,6,19,743.9480168,1733.358983
31,2014,June,6,19,743.9480168,1733.358983
31,2014,July,6,19,743.9480168,1733.358983
31,2014,July,6,19,743.9480168,1733.358983
31,2014,July,5,19,581.6950744,1733.358983
31,2014,July,5,19,581.6950744,1733.358983
31,2014,July,5,19,581.6950744,1733.358983
31,2014,August,5,19,581.6950744,1733.358983
31,2014,August,5,19,581.6950744,1733.358983
32,2014,April,4,19,89.5160374,1249.933725
32,2014,May,4,19,89.5160374,1249.933725
32,2014,May,4,19,147.9000991,1249.933725
32,2014,June,4,19,147.9000991,1249.933725
32,2014,June,4,19,147.9000991,1249.933725
32,2014,June,4,19,400.2714902,1249.933725
32,2014,June,4,19,400.2714902,1249.933725
32,2014,July,5,19,612.2460981,1249.933725
32,2014,July,5,19,612.2460981,1249.933725
32,2014,August,5,19,612.2460981,1249.933725
32,2014,August,5,19,612.2460981,1249.933725
32,2014,August,5,19,612.2460981,1249.933725
33,2014,April,4,17,126.1724841,1408.945203
33,2014,April,4,17,126.1724841,1408.945203
33,2014,April,4,17,126.1724841,1408.945203
33,2014,May,4,17,126.1724841,1408.945203
33,2014,June,1,17,70.50737987,1408.945203
33,2014,June,7,17,779.928315,1408.945203
33,2014,June,7,17,779.928315,1408.945203
33,2014,June,7,17,779.928315,1408.945203
33,2014,June,7,17,779.928315,1408.945203
33,2014,June,7,17,779.928315,1408.945203
33,2014,June,7,17,779.928315,1408.945203
33,2014,June,7,17,779.928315,1408.945203
33,2014,July,3,17,432.3370241,1408.945203
33,2014,July,3,17,432.3370241,1408.945203
33,2014,July,3,17,432.3370241,1408.945203
34,2014,April,4,14,108.1478435,792.2541997
34,2014,April,4,14,108.1478435,792.2541997
34,2014,April,4,14,108.1478435,792.2541997
34,2014,April,4,14,108.1478435,792.2541997
34,2014,June,4,14,143.5865834,792.2541997
34,2014,June,4,14,143.5865834,792.2541997
34,2014,June,2,14,385.0636423,792.2541997
34,2014,June,2,14,385.0636423,792.2541997
34,2014,July,2,14,155.4561305,792.2541997
34,2014,July,2,14,155.4561305,792.2541997
35,2014,May,1,7,6.356478492,181.0814462
35,2014,May,2,7,12.71295698,181.0814462
35,2014,June,2,7,12.71295698,181.0814462
35,2014,July,1,7,6.356478492,181.0814462
35,2014,July,2,7,155.6555322,181.0814462
35,2014,August,2,7,155.6555322,181.0814462
36,2014,May,1,7,6.356478492,181.0814462
36,2014,May,2,7,12.71295698,181.0814462
36,2014,June,2,7,12.71295698,181.0814462
36,2014,July,1,7,6.356478492,181.0814462
36,2014,July,2,7,155.6555322,181.0814462
36,2014,August,2,7,155.6555322,181.0814462
37,2014,April,2,5,6.356478492,168.3684892
37,2014,June,1,5,6.356478492,168.3684892
37,2014,July,1,5,61.69395738,168.3684892
37,2014,July,1,5,93.96157486,168.3684892
38,2014,May,1,5,6.356478492,177.1819117
38,2014,June,1,5,6.356478492,177.1819117
38,2014,July,2,5,164.4689547,177.1819117
38,2014,July,2,5,164.4689547,177.1819117
39,2014,May,1,5,6.356478492,177.1819117
39,2014,June,1,5,6.356478492,177.1819117
39,2014,July,2,5,164.4689547,177.1819117
39,2014,July,2,5,164.4689547,177.1819117
40,2014,May,2,5,12.71295698,177.1819117
40,2014,June,2,5,12.71295698,177.1819117
40,2014,July,2,5,164.4689547,177.1819117
40,2014,August,2,5,164.4689547,177.1819117
41,2014,June,1,4,6.356478492,170.8254332
41,2014,July,1,4,70.50737987,170.8254332
41,2014,July,1,4,93.96157486,170.8254332
42,2014,May,1,6,6.356478492,174.7249677
42,2014,May,2,6,12.71295698,174.7249677
42,2014,June,2,6,12.71295698,174.7249677
42,2014,July,2,6,155.6555322,174.7249677
42,2014,August,2,6,155.6555322,174.7249677
43,2014,April,2,5,6.356478492,168.3684892
43,2014,June,1,5,6.356478492,168.3684892
43,2014,July,1,5,61.69395738,168.3684892
43,2014,July,1,5,93.96157486,168.3684892
44,2014,April,2,5,6.356478492,168.3684892
44,2014,June,1,5,6.356478492,168.3684892
44,2014,July,1,5,61.69395738,168.3684892
44,2014,July,1,5,93.96157486,168.3684892
45,2014,May,1,5,6.356478492,177.1819117
45,2014,June,1,5,6.356478492,177.1819117
45,2014,July,2,5,164.4689547,177.1819117
45,2014,July,2,5,164.4689547,177.1819117
46,2014,April,3,12,12.71295698,249.1928613
46,2014,May,3,12,12.71295698,249.1928613
46,2014,May,7,12,86.40063895,249.1928613
46,2014,May,7,12,86.40063895,249.1928613
46,2014,May,7,12,86.40063895,249.1928613
46,2014,April,3,12,12.71295698,249.1928613
46,2014,May,7,12,86.40063895,249.1928613
46,2014,May,7,12,86.40063895,249.1928613
46,2014,May,7,12,86.40063895,249.1928613
46,2014,June,7,12,86.40063895,249.1928613
46,2014,July,2,12,150.0792653,249.1928613
46,2014,August,2,12,150.0792653,249.1928613
47,2014,April,3,9,25.9702387,94.34623706
47,2014,April,3,9,25.9702387,94.34623706
47,2014,May,3,9,25.9702387,94.34623706
47,2014,May,5,9,50.35135778,94.34623706
47,2014,May,5,9,50.35135778,94.34623706
47,2014,May,5,9,50.35135778,94.34623706
47,2014,May,5,9,50.35135778,94.34623706
47,2014,May,5,9,50.35135778,94.34623706
47,2014,June,1,9,18.02464059,94.34623706
48,2014,May,2,2,22.79199945,22.79199945
48,2014,May,2,2,22.79199945,22.79199945
49,2014,April,3,9,25.9702387,94.34623706
49,2014,April,3,9,25.9702387,94.34623706
49,2014,May,3,9,25.9702387,94.34623706
49,2014,May,5,9,50.35135778,94.34623706
49,2014,May,5,9,50.35135778,94.34623706
49,2014,May,5,9,50.35135778,94.34623706
49,2014,May,5,9,50.35135778,94.34623706
49,2014,May,5,9,50.35135778,94.34623706
49,2014,June,1,9,18.02464059,94.34623706
50,2014,April,1,4,3.178239246,43.99487929
50,2014,May,2,4,22.79199945,43.99487929
50,2014,May,2,4,22.79199945,43.99487929
50,2014,June,1,4,18.02464059,43.99487929
51,2014,April,1,4,3.178239246,43.99487929
51,2014,May,2,4,22.79199945,43.99487929
51,2014,May,2,4,22.79199945,43.99487929
51,2014,June,1,4,18.02464059,43.99487929
52,2014,April,2,9,7.945598115,172.6322107
52,2014,May,2,9,7.945598115,172.6322107
52,2014,May,5,9,50.35135778,172.6322107
52,2014,May,5,9,50.35135778,172.6322107
52,2014,May,5,9,50.35135778,172.6322107
52,2014,May,5,9,50.35135778,172.6322107
52,2014,May,5,9,50.35135778,172.6322107
52,2014,June,1,9,18.02464059,172.6322107
52,2014,August,1,9,96.31061423,172.6322107
53,2014,April,2,9,7.945598115,172.6322107
53,2014,May,2,9,7.945598115,172.6322107
53,2014,May,6,9,68.37599836,172.6322107
53,2014,May,6,9,68.37599836,172.6322107
53,2014,May,6,9,68.37599836,172.6322107
53,2014,May,6,9,68.37599836,172.6322107
53,2014,May,6,9,68.37599836,172.6322107
53,2014,June,6,9,68.37599836,172.6322107
53,2014,August,1,9,96.31061423,172.6322107
54,2014,April,2,10,7.945598115,226.4008618
54,2014,May,2,10,7.945598115,226.4008618
54,2014,May,6,10,68.37599836,226.4008618
54,2014,May,6,10,68.37599836,226.4008618
54,2014,May,6,10,68.37599836,226.4008618
54,2014,May,6,10,68.37599836,226.4008618
54,2014,May,6,10,68.37599836,226.4008618
54,2014,June,6,10,68.37599836,226.4008618
54,2014,July,2,10,150.0792653,226.4008618
54,2014,August,2,10,150.0792653,226.4008618
55,2014,April,2,8,7.945598115,154.6075701
55,2014,May,2,8,7.945598115,154.6075701
55,2014,May,4,8,32.32671719,154.6075701
55,2014,May,4,8,32.32671719,154.6075701
55,2014,May,4,8,32.32671719,154.6075701
55,2014,May,4,8,32.32671719,154.6075701
55,2014,June,1,8,18.02464059,154.6075701
55,2014,August,1,8,96.31061423,154.6075701
56,2014,May,2,11,21.6295687,588.6236279
56,2014,June,3,11,117.4251509,588.6236279
56,2014,June,3,11,117.4251509,588.6236279
56,2014,July,3,11,117.4251509,588.6236279
56,2014,July,4,11,449.5689083,588.6236279
56,2014,July,4,11,449.5689083,588.6236279
56,2014,July,4,11,449.5689083,588.6236279
56,2014,July,4,11,449.5689083,588.6236279
57,2014,May,2,11,21.6295687,588.6236279
57,2014,June,3,11,117.4251509,588.6236279
57,2014,June,3,11,117.4251509,588.6236279
57,2014,July,3,11,117.4251509,588.6236279
57,2014,July,4,11,449.5689083,588.6236279
57,2014,July,4,11,449.5689083,588.6236279
57,2014,July,4,11,449.5689083,588.6236279
57,2014,July,4,11,449.5689083,588.6236279
58,2014,May,2,11,21.6295687,588.6236279
58,2014,June,3,11,117.4251509,588.6236279
58,2014,June,3,11,117.4251509,588.6236279
58,2014,July,3,11,117.4251509,588.6236279
58,2014,July,4,11,449.5689083,588.6236279
58,2014,July,4,11,449.5689083,588.6236279
58,2014,July,4,11,449.5689083,588.6236279
58,2014,July,4,11,449.5689083,588.6236279
59,2014,May,2,11,21.6295687,588.6236279
59,2014,June,3,11,117.4251509,588.6236279
59,2014,June,3,11,117.4251509,588.6236279
59,2014,July,3,11,117.4251509,588.6236279
59,2014,July,4,11,449.5689083,588.6236279
59,2014,July,4,11,449.5689083,588.6236279
59,2014,July,4,11,449.5689083,588.6236279
59,2014,July,4,11,449.5689083,588.6236279
60,2014,May,2,9,21.6295687,390.5186827
60,2014,June,2,9,36.77217428,390.5186827
60,2014,June,2,9,36.77217428,390.5186827
60,2014,July,3,9,332.1169397,390.5186827
60,2014,July,3,9,332.1169397,390.5186827
60,2014,July,3,9,332.1169397,390.5186827
61,2014,May,2,8,21.6295687,360.1029869
61,2014,June,1,8,6.356478492,360.1029869
61,2014,July,3,8,332.1169397,360.1029869
61,2014,July,3,8,332.1169397,360.1029869
61,2014,July,3,8,332.1169397,360.1029869
62,2014,May,1,5,21.6295687,205.3100205
62,2014,June,2,5,36.77217428,205.3100205
62,2014,June,2,5,36.77217428,205.3100205
62,2014,July,1,5,146.9082775,205.3100205
63,2014,May,2,7,21.6295687,353.7465084
63,2014,July,3,7,332.1169397,353.7465084
63,2014,July,3,7,332.1169397,353.7465084
63,2014,July,3,7,332.1169397,353.7465084
64,2014,May,2,9,21.6295687,390.5186827
64,2014,June,2,9,36.77217428,390.5186827
64,2014,June,2,9,36.77217428,390.5186827
64,2014,July,3,9,332.1169397,390.5186827
64,2014,July,3,9,332.1169397,390.5186827
64,2014,July,3,9,332.1169397,390.5186827
65,2014,May,1,5,21.6295687,205.3100205
65,2014,June,2,5,36.77217428,205.3100205
65,2014,June,2,5,36.77217428,205.3100205
65,2014,July,1,5,146.9082775,205.3100205
66,2014,May,2,7,21.6295687,352.2182979
66,2014,June,2,7,36.77217428,352.2182979
66,2014,June,2,7,36.77217428,352.2182979
66,2014,July,2,7,293.8165549,352.2182979
66,2014,July,2,7,293.8165549,352.2182979
67,2014,May,5,14,265.7304321,615.672063
67,2014,May,5,14,265.7304321,615.672063
67,2014,May,5,14,265.7304321,615.672063
67,2014,May,5,14,265.7304321,615.672063
67,2014,June,5,14,265.7304321,615.672063
67,2014,June,3,14,162.0184812,615.672063
67,2014,July,3,14,162.0184812,615.672063
67,2014,July,3,14,162.0184812,615.672063
67,2014,July,2,14,187.9231497,615.672063
67,2014,July,2,14,187.9231497,615.672063
68,2014,May,5,11,265.7304321,611.7720583
68,2014,May,5,11,265.7304321,611.7720583
68,2014,May,5,11,265.7304321,611.7720583
68,2014,May,5,11,265.7304321,611.7720583
68,2014,June,5,11,265.7304321,611.7720583
68,2014,June,3,11,246.9677358,611.7720583
68,2014,June,3,11,246.9677358,611.7720583
68,2014,June,3,11,246.9677358,611.7720583
68,2014,August,1,11,99.07389045,611.7720583
69,2014,May,5,11,265.7304321,611.7720583
69,2014,May,5,11,265.7304321,611.7720583
69,2014,May,5,11,265.7304321,611.7720583
69,2014,May,5,11,265.7304321,611.7720583
69,2014,June,5,11,265.7304321,611.7720583
69,2014,June,3,11,246.9677358,611.7720583
69,2014,June,3,11,246.9677358,611.7720583
69,2014,June,3,11,246.9677358,611.7720583
69,2014,August,1,11,99.07389045,611.7720583
70,2014,May,5,12,78.14977019,231.1559311
70,2014,May,5,12,78.14977019,231.1559311
70,2014,May,5,12,78.14977019,231.1559311
70,2014,May,5,12,78.14977019,231.1559311
70,2014,June,5,12,78.14977019,231.1559311
70,2014,June,1,12,143.9938406,231.1559311
70,2014,July,1,12,9.012320293,231.1559311
71,2014,May,5,17,125.8233589,707.7860817
71,2014,May,5,17,125.8233589,707.7860817
71,2014,May,5,17,125.8233589,707.7860817
71,2014,May,5,17,125.8233589,707.7860817
71,2014,June,5,17,125.8233589,707.7860817
71,2014,June,2,17,201.0041078,707.7860817
71,2014,July,2,17,201.0041078,707.7860817
71,2014,July,4,17,380.958615,707.7860817
71,2014,July,4,17,380.958615,707.7860817
71,2014,July,4,17,380.958615,707.7860817
71,2014,August,4,17,380.958615,707.7860817
72,2014,May,3,12,69.1374499,410.0667605
72,2014,May,3,12,69.1374499,410.0667605
72,2014,June,3,12,69.1374499,410.0667605
72,2014,June,4,12,153.0061609,410.0667605
72,2014,June,4,12,153.0061609,410.0667605
72,2014,July,2,12,187.9231497,410.0667605
72,2014,July,2,12,187.9231497,410.0667605
73,2014,May,2,18,9.012320293,556.4118187
73,2014,May,3,18,18.54703803,556.4118187
73,2014,May,3,18,18.54703803,556.4118187
73,2014,May,3,18,18.54703803,556.4118187
73,2014,June,6,18,246.9677358,556.4118187
73,2014,June,6,18,246.9677358,556.4118187
73,2014,June,6,18,246.9677358,556.4118187
73,2014,July,3,18,281.8847246,556.4118187
73,2014,July,3,18,281.8847246,556.4118187
73,2014,July,3,18,281.8847246,556.4118187
74,2014,June,1,11,53.76865112,484.7595319
74,2014,June,3,11,143.9938406,484.7595319
74,2014,July,3,11,286.9970402,484.7595319
74,2014,July,3,11,286.9970402,484.7595319
74,2014,August,3,11,286.9970402,484.7595319
75,2014,May,4,18,12.19055954,841.2732996
75,2014,May,4,18,12.19055954,841.2732996
75,2014,June,1,18,53.76865112,841.2732996
75,2014,June,4,18,153.0061609,841.2732996
75,2014,June,4,18,153.0061609,841.2732996
75,2014,July,5,18,622.307928,841.2732996
75,2014,July,5,18,622.307928,841.2732996
75,2014,July,5,18,622.307928,841.2732996
75,2014,August,5,18,622.307928,841.2732996
75,2014,August,5,18,622.307928,841.2732996
76,2014,May,2,13,12.19055954,428.0914011
76,2014,May,2,13,12.19055954,428.0914011
76,2014,May,4,13,74.97153095,428.0914011
76,2014,May,4,13,74.97153095,428.0914011
76,2014,May,4,13,74.97153095,428.0914011
76,2014,June,4,13,74.97153095,428.0914011
76,2014,June,4,13,153.0061609,428.0914011
76,2014,July,4,13,153.0061609,428.0914011
76,2014,July,2,13,187.9231497,428.0914011
76,2014,July,2,13,187.9231497,428.0914011
77,2014,June,1,12,53.76865112,403.710282
77,2014,June,3,12,162.0184812,403.710282
77,2014,July,3,12,162.0184812,403.710282
77,2014,July,3,12,162.0184812,403.710282
77,2014,July,2,12,187.9231497,403.710282
77,2014,July,2,12,187.9231497,403.710282
78,2014,May,5,17,12.19055954,653.3501499
78,2014,May,5,17,12.19055954,653.3501499
78,2014,June,1,17,53.76865112,653.3501499
78,2014,June,4,17,153.0061609,653.3501499
78,2014,June,4,17,153.0061609,653.3501499
78,2014,July,3,17,434.3847783,653.3501499
78,2014,July,3,17,434.3847783,653.3501499
78,2014,August,3,17,434.3847783,653.3501499
79,2014,May,7,22,12.19055954,706.076121
79,2014,May,7,22,12.19055954,706.076121
79,2014,May,3,22,65.95921065,706.076121
79,2014,May,3,22,65.95921065,706.076121
79,2014,June,3,22,65.95921065,706.076121
79,2014,June,4,22,246.9677358,706.076121
79,2014,June,4,22,246.9677358,706.076121
79,2014,June,4,22,246.9677358,706.076121
79,2014,July,4,22,380.958615,706.076121
79,2014,July,4,22,380.958615,706.076121
79,2014,July,4,22,380.958615,706.076121
79,2014,August,4,22,380.958615,706.076121
80,2014,May,5,11,300.379354,670.2954084
80,2014,May,5,11,300.379354,670.2954084
80,2014,May,5,11,300.379354,670.2954084
80,2014,June,5,11,300.379354,670.2954084
80,2014,June,5,11,300.379354,670.2954084
80,2014,June,6,11,369.9160544,670.2954084
80,2014,June,6,11,369.9160544,670.2954084
80,2014,June,6,11,369.9160544,670.2954084
80,2014,June,6,11,369.9160544,670.2954084
80,2014,July,6,11,369.9160544,670.2954084
80,2014,July,6,11,369.9160544,670.2954084
81,2014,May,5,14,84.50624868,425.4355593
81,2014,May,5,14,84.50624868,425.4355593
81,2014,May,5,14,84.50624868,425.4355593
81,2014,May,5,14,84.50624868,425.4355593
81,2014,June,5,14,84.50624868,425.4355593
81,2014,June,5,14,153.0061609,425.4355593
81,2014,July,5,14,153.0061609,425.4355593
81,2014,July,2,14,187.9231497,425.4355593
81,2014,July,2,14,187.9231497,425.4355593
82,2014,June,1,3,53.76865112,156.7425463
82,2014,June,1,3,9.012320293,156.7425463
82,2014,July,1,3,93.96157486,156.7425463
83,2014,May,2,10,62.78097141,403.710282
