YearlyCon,YearlyTCost,Mildew_May,Mildew Incidence,Susceptibility to R6 Strains,Susceptibility to nonR6 Strains,Initial Strain,Pruning,degree_centrality_NonR6_MayJun,degree_centrality_NonR6_JunJul,Quadrant,Year
3,414.8277383,0,0.305,3,3,0,5,1,1,NE,2015
10,414.8277383,0,0.05,4,4,0,4,0,0,NE,2015
4,254.7508503,0,0,3,3,0,5,0,0,SW,2015
5,272.7754909,0,0,3,3,0,5,0,0,SW,2015
5,272.7754909,0,0.0025,1,1,0,5,0,0,SW,2015
5,272.7754909,0,0,3,3,0,5,0,0,SW,2015
4,182.5706301,0,0,4,0,0,2,0,0,NW,2015
4,182.5706301,0,0,4,0,0,1,0,0,NW,2015
3,126.5299553,0,0,3,3,0,1,0,0,NW,2015
4,141.4533914,0,0,4,4,0,1,0,0,NW,2015
4,120.8947721,0,0,4,4,0,1,0,0,NW,2015
4,120.8947721,0,0,2,0,0,1,0,0,NW,2015
5,185.5205038,0,0.0025,3,3,1,3,0,0,NW,2015
4,182.5706301,0,0,4,0,0,2,0,0,NW,2015
3,126.5299553,0,0,3,3,0,1,0,0,NW,2015
3,126.5299553,0,0,3,3,0,1,0,0,NW,2015
3,117.7165328,0,0,0,0,0,1,0,0,NW,2015
4,137.1272543,0,0,1,1,0,4,0,0,NE,2015
4,137.1272543,0,0,1,1,0,4,0,0,NE,2015
4,137.1272543,0,0,3,3,0,3,0,0,NE,2015
2,36.04928117,0,0,0,0,0,4,0,0,NE,2015
8,388.79704,0,0.0025,4,0,2,3,0,0,NE,2015
8,405.6789438,0,0.0075,4,0,2,3,0,0,NE,2015
8,520.0141986,0,0.1575,4,0,2,2,1,1,NE,2015
8,405.6789438,0,0.2,4,0,2,3,1,0,NE,2015
5,155.1518949,0,0.0025,3,3,2,5,0,0,NE,2015
4,241.8024216,0,0.0675,5,0,2,2,0,0,NW,2015
4,241.8024216,0,0,4,0,0,2,0,0,NW,2015
4,241.8024216,0,0.07,4,4,2,1,0,0,NW,2015
4,241.8024216,0,0.0025,4,0,2,1,0,0,NW,2015
4,261.6240067,0,0,3,3,0,2,0,0,NW,2015
4,261.6240067,0,0.0025,4,0,2,1,0,0,NW,2015
2,87.00945517,0,0.005,1,1,0,2,0,0,NW,2015
4,261.6240067,0,0,4,0,0,2,0,0,NW,2015
4,87.00945517,0,0,3,3,0,2,0,0,NW,2015
4,241.8024216,0,0,3,3,0,2,0,0,NW,2015
2,147.8408467,0,0,1,1,0,3,0,0,NW,2015
3,119.1967926,0,0,4,4,0,5,0,0,SE,2015
4,213.1583674,0,0,2,2,0,5,0,0,SE,2015
4,213.1583674,0,0,1,1,0,5,0,0,SE,2015
3,119.1967926,0,0,0,0,0,5,0,0,SE,2015
7,339.9061906,0,0,1,1,0,2,0,0,SE,2015
5,262.6953127,0,0,3,3,0,4,0,0,SE,2015
4,213.1583674,0,0,3,3,0,5,0,0,SE,2015
5,312.2322579,0,0,3,3,0,5,0,0,SE,2015
4,253.3512912,0,0,3,3,0,5,0,0,SE,2015
7,339.9061906,0,0,1,1,0,3,0,0,SE,2015
7,303.8569094,0,0,1,1,0,3,0,0,SE,2015
4,312.2322579,0,0,3,3,0,4,0,0,SE,2015
4,267.8076282,0,0,3,3,0,1,0,0,SE,2015
7,214.0389771,0,0,1,1,0,1,0,0,SE,2015
5,262.6953127,0,0,3,3,0,5,0,0,SE,2015
5,262.6953127,0,0,3,3,0,1,0,0,SE,2015
5,246.8041164,0,0,3,3,0,5,0,0,SE,2015
3,119.1967926,0,0,4,0,0,3,0,0,SE,2015
3,204.783019,0,0,0,0,0,5,0,0,SE,2015
5,168.7337378,0,0,3,3,0,4,0,0,SE,2015
3,119.1967926,0,0,1,1,0,4,0,0,SE,2015
5,208.9266615,0,0,3,3,0,5,0,0,SE,2015
4,213.1583674,0,0,3,3,0,5,0,0,SE,2015
4,468.4258956,0,0,1,1,0,5,0,0,SE,2015
3,235.7199845,0,0,4,4,0,5,0,0,SE,2015
3,141.7584097,0,0,0,0,0,5,0,0,SE,2015
5,235.7199845,0,0,3,3,0,5,0,0,SE,2015
5,213.1583674,0,0,3,3,0,5,0,0,SW,2015
3,235.7199845,0,0,0,0,0,2,0,0,SW,2015
3,260.4453242,0,0,1,1,0,4,0,0,SW,2015
5,378.0927651,0,0,4,4,0,5,0,0,SW,2015
1,96.31061423,0,0,3,3,0,5,0,0,SW,2015
1,96.31061423,0,0,4,4,0,5,0,0,SW,2015
5,273.1582812,0,0,4,0,0,5,0,0,SW,2015
3,449.3273953,0,0,4,4,0,5,0,0,SW,2015
1,96.31061423,0,0,2,0,0,5,0,0,SW,2015
1,96.31061423,0,0,1,1,0,5,0,0,SW,2015
3,260.4453242,0,0,0,0,0,5,0,0,SW,2015
1,96.31061423,0,0,1,1,0,5,0,0,SW,2015
9,648.257629,0,0.055,2,2,0,4,1,0,NW,2015
7,347.8656788,0,0.1,4,0,2,4,0,0,NE,2015
7,347.8656788,0,0,1,1,0,3,0,0,NW,2015
6,311.8163976,0,0.03,3,3,0,2,0,0,NW,2015
6,311.8163976,0,0.0025,3,3,0,3,0,0,NW,2015
7,430.4232549,0,0.1475,4,0,2,2,1,0,NW,2015
7,811.4980783,0,0.2725,4,0,2,1,1,0,NW,2015
7,766.2910731,0.03,0.4025,4,0,2,3,1,1,NW,2015
6,311.8163976,0,0.01,4,4,0,2,0,0,NW,2015
7,813.8471177,0.01,0.2125,4,0,2,3,1,1,NW,2015
7,303.8576356,0,0,3,3,0,2,0,0,NW,2015
7,311.8163976,0,0,3,3,0,1,0,0,NW,2015
7,525.77829,0,0.0775,4,0,2,1,1,0,NW,2015
3,309.0361793,0,0,1,1,0,5,0,0,SW,2016
3,309.0361793,0,0,4,4,0,4,0,0,SW,2016
3,309.0361793,0,0,4,4,0,5,0,0,SW,2016
3,309.0361793,0,0,2,2,0,5,0,0,SW,2016
3,309.0361793,0,0,1,1,0,4,0,0,SE,2016
3,309.0361793,0,0,1,1,0,5,0,0,SW,2016
3,309.0361793,0,0,4,4,0,5,0,0,SW,2016
3,309.0361793,0,0.02,1,1,1,5,0,0,SE,2016
3,309.0361793,0.0125,0.006875,2,2,1,5,0,0,NE,2016
3,309.0361793,0,0.005,2,2,2,5,0,0,SE,2016
3,309.0361793,0,0.0025,4,4,1,5,0,0,NE,2016
3,309.0361793,0,0.05125,3,3,2,5,0,0,NE,2016
3,309.0361793,0,0,3,3,0,5,0,0,SE,2016
3,309.0361793,0,0,1,1,0,5,0,0,SW,2016
3,309.0361793,0,0,1,1,0,5,0,0,SE,2016
3,309.0361793,0,0,1,1,0,5,0,0,SE,2016
3,309.0361793,0,0.0025,4,4,1,5,0,0,SE,2016
3,309.0361793,0,0,3,3,0,5,0,0,SE,2016
3,309.0361793,0,0.00125,3,3,2,5,0,0,SW,2016
6,337.6080661,0,0,0,0,0,5,0,0,NE,2016
9,589.4206539,0,0.27375,4,4,2,5,1,1,NE,2016
5,314.7590362,0,0,2,0,0,1,0,0,NE,2016
5,303.8193706,0,0.005,4,0,2,1,0,0,SE,2016
5,303.8193706,0,0.0025,4,0,2,2,0,0,SE,2016
6,424.3362938,0,0.00375,3,3,2,2,0,0,NE,2016
12,1173.127141,0,0.1475,5,0,2,3,1,0,NE,2016
5,690.1811362,0,0.191210654,4,0,2,3,1,1,NE,2016
9,538.6891028,0,0.0075,4,4,2,5,0,0,NE,2016
6,335.7798038,0,0.0125,3,3,2,5,0,0,NE,2016
9,481.1215503,0,0.00125,4,4,2,4,0,0,NE,2016
8,395.2531122,0,0,3,3,0,5,0,0,SW,2016
7,368.2640811,0,0,3,3,0,5,0,0,SW,2016
8,395.2531122,0,0,1,1,0,5,0,0,SW,2016
7,368.2640811,0,0,3,3,0,5,0,0,SW,2016
7,251.0779708,0,0.01125,4,4,2,5,0,0,SW,2016
7,251.0779708,0,0.015,4,4,2,5,0,0,SW,2016
15,883.92743,0,0,3,3,0,5,0,0,SW,2016
7,357.3152055,0,0,3,3,0,5,0,0,SW,2016
4,119.3056524,0,0,3,3,0,1,0,0,NW,2016
3,179.3923908,0,0,4,0,0,1,0,0,NW,2016
3,179.3923908,0,0,4,0,0,1,0,0,NW,2016
3,59.23701339,0,0,3,3,0,1,0,0,NW,2016
3,59.23701339,0,0,4,4,0,1,0,0,NW,2016
3,59.23701339,0,0,4,4,0,1,0,0,NW,2016
3,59.23701339,0,0,2,0,0,1,0,0,NW,2016
6,284.0961825,0.265,0.345,3,3,1,5,0,0,NW,2016
3,179.3923908,0,0,4,0,0,1,0,0,NW,2016
3,59.23701339,0,0,3,3,0,1,0,0,NW,2016
4,119.3056524,0,0,1,1,0,1,0,0,NW,2016
3,59.23701339,0,0,3,3,0,1,0,0,NW,2016
2,6.356478492,0,0,0,0,0,3,0,0,NW,2016
3,42.54738635,0,0.00375,2,2,1,3,0,0,NE,2016
8,475.6543747,0,0.115,1,1,1,4,0,0,NE,2016
8,235.1686148,0,0.00125,1,1,1,5,0,0,NE,2016
4,138.8580006,0,0.00125,3,3,1,5,0,0,NE,2016
12,674.999433,0.0075,0.419375,4,0,2,4,1,1,NE,2016
12,666.0645384,0,0.37375,4,0,2,4,1,1,NE,2016
12,679.8730119,0,0.15875,4,0,2,2,1,1,NE,2016
12,674.999433,0,0.30875,4,0,2,4,1,1,NE,2016
5,235.1686148,0,0.04125,3,3,1,3,0,0,NE,2016
8,497.7081132,0,0.0325,5,0,2,3,0,0,NW,2016
8,497.7081132,0,0,4,0,0,3,0,0,NW,2016
8,497.7081132,0,0.00125,4,4,0,3,0,0,NW,2016
8,497.7081132,0,0.00375,4,0,2,3,0,0,NW,2016
6,392.7478683,0,0,3,3,0,3,0,0,NW,2016
8,392.7478683,0,0.00125,4,0,2,3,0,0,NW,2016
6,452.2565781,0,0,3,3,0,5,0,0,NW,2016
6,481.245349,0,0,4,4,0,4,0,0,SE,2016
7,564.0141786,0,0,2,2,0,2,0,0,SE,2016
6,481.245349,0,0,1,1,0,5,0,0,SE,2016
4,260.7556722,0,0,0,0,0,5,0,0,SE,2016
6,530.7822942,0,0,1,1,0,1,0,0,SE,2016
5,431.7084037,0,0,3,3,0,5,0,0,SE,2016
6,456.4768763,0,0,3,3,0,4,0,0,SE,2016
8,651.861381,0,0,3,3,0,5,0,0,SE,2016
6,456.4768763,0,0.00125,1,1,2,3,0,0,SE,2016
6,555.5507668,0,0,1,1,0,5,0,0,SE,2016
6,456.4768763,0,0.00125,3,3,2,3,0,0,SE,2016
6,431.7084037,0,0,3,3,0,3,0,0,SE,2016
6,431.7084037,0,0,1,1,0,3,0,0,SE,2016
6,456.4768763,0,0,1,1,0,3,0,0,SE,2016
5,431.7084037,0,0,3,3,0,5,0,0,SE,2016
6,456.4768763,0,0,3,3,0,5,0,0,SE,2016
5,431.7084037,0,0,3,3,0,5,0,0,SE,2016
9,748.1719953,0,0.00125,4,0,2,2,0,0,SE,2016
4,92.33005842,0,0,0,0,0,1,0,0,SE,2016
5,431.7084037,0,0,3,3,0,2,0,0,SE,2016
6,456.4768763,0,0,3,3,0,2,0,0,SE,2016
6,456.4768763,0,0,1,1,0,1,0,0,SE,2016
4,191.4039489,0,0,0,0,0,5,0,0,SE,2016
8,539.245706,0,0,3,3,0,3,0,0,SE,2016
4,191.4039489,0,0,0,0,0,5,0,0,SW,2016
2,246.5960372,0,0,1,1,0,3,0,0,SW,2016
3,418.7790143,0,0,4,4,0,2,0,0,SW,2016
2,377.7641421,0,0,4,4,0,5,0,0,SW,2016
2,56.51550517,0,0.00375,4,0,2,2,0,0,SW,2016
2,377.7641421,0,0,4,4,0,2,0,0,SW,2016
2,240.3905823,0,0.00125,2,0,2,2,0,0,SW,2016
2,377.7641421,0,0.00125,1,1,1,5,0,0,SW,2016
2,377.7641421,0,0,1,1,0,5,0,0,SW,2016
5,209.7526146,0,0,3,3,0,2,0,0,NE,2016
10,641.0552781,0,0.12125,4,0,2,1,1,1,NE,2016
7,476.2294619,0,0.00625,1,1,1,2,0,0,NW,2016
9,431.6321747,0.0175,0.246875,3,3,2,3,1,1,NW,2016
5,451.4425093,0,0.01375,3,3,2,5,0,0,NW,2016
10,787.4269496,0,0.2975,4,0,2,1,1,1,NW,2016
10,514.1615801,0,0.25625,4,0,2,1,1,1,NW,2016
6,286.7769497,0,0,4,4,0,3,0,0,NW,2016
10,897.3006688,0,0.23375,4,0,2,3,1,1,NW,2016
6,237.6009767,0,0.00125,3,3,2,3,0,0,NW,2016
6,346.2081419,0,0,3,3,0,5,0,0,NW,2016
10,674.6468216,0,0.02625,4,0,2,3,1,0,NW,2016
12,1089.645227,0,0,1,1,0,3,0,0,SW,2017
12,1089.645227,0,0,3,3,0,3,0,0,SW,2017
12,1089.645227,0,0,4,4,0,3,0,0,SW,2017
12,1089.645227,0,0,4,4,0,3,0,0,SW,2017
12,1089.645227,0,0,2,2,0,3,0,0,SW,2017
12,1089.645227,0,0,0,0,0,2,0,0,SW,2017
12,1089.645227,0,0,1,1,0,3,0,0,SE,2017
12,1089.645227,0,0,1,1,0,2,0,0,SW,2017
12,1089.645227,0,0,4,4,0,3,0,0,SW,2017
12,1089.645227,0,0,4,4,0,4,0,0,SW,2017
12,1089.645227,0.0025,0.000625,1,1,2,2,0,0,SE,2017
12,1089.645227,0.0025,0.00125,2,2,2,3,0,0,SE,2017
12,1089.645227,0,0.00125,4,4,2,3,0,0,NE,2017
12,1089.645227,0,0,3,3,0,4,0,0,NE,2017
12,1089.645227,0,0,3,3,0,3,0,0,SE,2017
12,1089.645227,0,0,1,1,0,2,0,0,SW,2017
12,1236.553504,0,0,1,1,0,5,0,0,SE,2017
12,1236.553504,0,0,1,1,0,5,0,0,SE,2017
12,1089.645227,0,0,4,4,0,5,0,0,SE,2017
12,1089.645227,0,0,3,3,0,3,0,0,SE,2017
12,1089.645227,0,0,3,3,0,3,0,0,SW,2017
6,704.4488523,0,0.0625,1,1,2,5,1,0,NE,2017
13,996.244506,0,0,0,0,0,3,0,0,NE,2017
12,944.5378232,0.005,0.0225,4,4,2,3,0,0,NE,2017
10,868.1867502,0.0025,0.054375,2,2,2,5,0,0,SE,2017
9,646.2225064,0,0,2,0,0,1,0,0,NE,2017
8,777.3702457,0,0.00125,4,0,2,1,0,0,SE,2017
8,777.3702457,0,0,4,0,0,1,0,0,SE,2017
8,655.3830762,0,0,3,3,0,2,0,0,NE,2017
12,827.6559762,0,0.01125,5,0,2,1,0,0,NE,2017
8,566.7662241,0,0.00875,4,0,2,3,0,0,NE,2017
12,547.8794852,0,0.0125,4,4,2,2,0,0,NE,2017
8,655.6993309,0,0.005,3,3,2,2,0,0,NE,2017
12,708.2405099,0,0.0125,4,4,2,2,0,0,NE,2017
8,709.5539668,0,0.003333333,3,3,2,3,0,0,SW,2017
8,709.5539668,0,0,3,3,0,1,0,0,SW,2017
8,709.5539668,0,0,1,1,0,1,0,0,SW,2017
8,709.5539668,0,0.02875,3,3,2,3,0,0,SW,2017
13,888.2005377,0,0,4,4,0,2,0,0,SW,2017
13,888.2005377,0,0,4,4,0,2,0,0,SW,2017
8,709.5539668,0,0,3,3,0,3,0,0,SW,2017
8,175.8817937,0,0,3,3,0,2,0,0,SW,2017
8,709.5539668,0,0,1,0,0,1,0,0,SW,2017
8,587.8591467,0,0,3,3,0,1,0,0,NW,2017
5,131.6237099,0,0,4,0,0,1,0,0,NW,2017
5,188.0807936,0,0.00125,4,0,2,1,0,0,NW,2017
3,25.74373789,0,0,3,3,0,1,0,0,NW,2017
5,131.6237099,0,0,4,4,0,1,0,0,NW,2017
6,225.5852848,0,0,4,4,0,1,0,0,NW,2017
4,37.66213506,0,0,2,0,0,1,0,0,NW,2017
5,271.7837917,0,0.00125,3,3,2,1,0,0,NW,2017
5,188.0807936,0,0,4,0,0,1,0,0,NW,2017
3,119.7053128,0,0,3,3,0,1,0,0,NW,2017
6,225.5852848,0,0,1,1,0,1,0,0,NW,2017
3,131.6237099,0,0,3,3,0,1,0,0,NW,2017
4,44.81317337,0,0,0,0,0,1,0,0,NW,2017
6,117.1990355,0,0.01,2,2,2,5,0,0,NE,2017
12,480.9813159,0,0.00125,1,1,2,1,0,0,NE,2017
12,471.9689957,0,0,1,1,0,1,0,0,NE,2017
9,241.7163016,0,0,3,3,0,3,0,0,NE,2017
9,338.0269158,0,0,3,3,0,5,0,0,NW,2017
11,461.5763669,0.0125,0.320625,4,4,2,5,1,0,NE,2017
9,348.7731313,0,0,1,1,0,1,0,0,NE,2017
9,252.4625171,0,0,1,1,0,1,0,0,NE,2017
11,567.2120322,0,0.01,4,0,2,1,0,0,NE,2017
11,570.3902715,0,0.08625,4,0,2,1,0,0,NE,2017
11,567.2120322,0,0.13625,4,0,2,1,0,0,NE,2017
11,570.3902715,0,0.00375,4,0,2,1,0,0,NE,2017
11,445.6125539,0,0.0175,3,3,2,1,0,0,NE,2017
6,458.0769825,0,0,5,0,0,1,0,0,NW,2017
6,458.0769825,0,0,4,0,0,1,0,0,NW,2017
6,458.0769825,0,0,4,4,0,1,0,0,NW,2017
6,458.0769825,0,0,4,0,0,1,0,0,NW,2017
6,458.0769825,0,0,3,3,0,1,0,0,NW,2017
6,326.738211,0,0.00125,4,0,2,1,0,0,NW,2017
7,502.1440949,0,0,1,1,0,1,0,0,NW,2017
6,370.8053234,0,0,4,0,0,1,0,0,NW,2017
6,458.0769825,0,0,3,3,0,1,0,0,NW,2017
4,326.738211,0,0,3,3,0,1,0,0,NW,2017
7,326.738211,0,0,1,1,0,1,0,0,NW,2017
7,658.0923648,0,0,2,2,0,2,0,0,SE,2017
6,379.6230511,0,0,0,0,0,3,0,0,SE,2017
6,469.5771869,0,0,3,3,0,5,0,0,SW,2017
7,718.6027835,0,0,3,3,0,2,0,0,SE,2017
8,763.5227337,0,0,3,3,0,5,0,0,SE,2017
6,475.9336654,0,0,3,3,0,2,0,0,SE,2017
7,664.4488432,0,0,1,1,0,1,0,0,SE,2017
8,763.5227337,0,0,3,3,0,3,0,0,SE,2017
8,602.198941,0,0,3,3,0,3,0,0,SE,2017
7,664.4488432,0,0,1,1,0,3,0,0,SE,2017
8,763.5227337,0,0.00125,1,1,2,3,0,0,SE,2017
7,664.4488432,0,0.0025,1,1,2,1,0,0,SE,2017
7,868.9531026,0,0.015,3,3,2,2,0,0,SE,2017
6,713.9857885,0,0.0025,3,3,2,5,0,0,SE,2017
7,868.9531026,0,0.00375,3,3,2,2,0,0,SE,2017
10,911.1097766,0.0025,0.055625,4,0,2,3,0,0,SE,2017
6,469.5771869,0,0,0,0,0,2,0,0,SE,2017
7,868.9531026,0,0.00375,3,3,2,2,0,0,SE,2017
8,757.1662552,0,0,3,3,0,5,0,0,SE,2017
6,451.1651927,0,0,0,0,0,2,0,0,SE,2017
6,670.8053217,0,0.00625,3,3,2,2,0,0,SE,2017
10,658.0923648,0,0,4,0,0,3,0,0,SW,2017
6,531.8270891,0,0,0,0,0,3,0,0,SW,2017
5,215.1480517,0,0.0675,1,1,2,2,0,0,SW,2017
8,398.8259919,0,0.0475,4,4,2,4,0,0,SW,2017
1,93.96157486,0,0.2075,4,4,2,1,0,0,SW,2017
5,232.3744842,0,0,4,0,0,2,0,0,SW,2017
