Year,Field.ID,Grower,Quadrant,Mildew_Apr,Mildew_May,Mildew_Jun,Mildew_Jul,Mildew_Apr_Dummy,Mildew_May_Dummy,Mildew_Jun_Dummy,Mildew_Jul_Dummy,Mildew.Incidence,Mildew.Incidence_Dummy,Susceptibility to V6 strains,Susceptibility to nonV6 strains,Initial strain,Pruning thoroughness,FlagShoot.Incidence,FlagShoot.Incidence_Dummy,YearlyCon,YearlyTCost,Grower_1,Grower_2,Grower_3,Grower_4,Grower_5,Grower_6,Grower_7,Grower_8,Grower_9,YearDummy_2014,YearDummy_2015,YearDummy_2016,YearDummy_2017,NE,NW,SW,SE,Direction_Ordinal,Grower_Ordinal,Prediction,ATE
2014,19,1,SE,0,0,0.01,0.02,0,0,1,1,0.0075,1,1,1,1,3,0,0,8,101.5202352,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,17.73527,17.55148054
2014,20,1,SE,0,0,0,0.05,0,0,0,1,0.0125,1,1,1,1,5,0,0,8,101.5202352,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,18.03022,18.02721728
2014,21,1,SE,0,0.01,0.02,0.13,0,1,1,1,0.04,1,4,4,1,5,0,0,10,150.0082875,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,14.38302,16.9889395
2014,22,1,SE,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,8,101.5202352,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,18.00508,17.04542147
2014,23,1,SW,0,0.0075,0.11,0.12,0,1,1,1,0.059375,1,3,3,1,4,0,0,8,101.5202352,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,18.58821,16.8417936
2014,25,2,NE,0.03,0.38,1,0.99,1,1,1,1,0.6,1,4,4,1,5,0.0275,1,8,111.6168623,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,27.82759,15.44543788
2014,26,2,NE,0,0.01,0.08,0.09,0,1,1,1,0.045,1,2,0,2,2,0,0,5,26.4675041,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,16.10689,15.23955393
2014,27,2,SE,0,0,0.12,0.42,0,0,1,1,0.135,1,4,0,2,5,0,0,13,185.3805765,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,2,18.64514,16.01463731
2014,28,2,SE,0,0,0.55,0.82,0,0,1,1,0.3425,1,4,0,2,4,0,0,13,185.3805765,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,2,15.87397,15.71505162
2014,29,2,SE,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,4,16.07265282,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,2,16.14623,17.47692826
2014,30,2,NE,0,0.12,0.88,0.39,0,1,1,1,0.3475,1,3,3,2,2,0,0,10,110.7949512,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,16.39902,15.34969209
2014,31,2,NE,0.03,0.07,0.94,0.71,1,1,1,1,0.4375,1,5,0,2,4,0.01,1,17,329.3161286,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,13.37039,15.54131159
2014,32,2,NE,0,0,0.82,0.36,0,0,1,1,0.295,1,4,0,2,2,0,0,13,185.3805765,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,15.4404,14.89397564
2014,33,2,NE,0,0,0.47,0.14,0,0,1,1,0.1525,1,4,4,2,4,0,0,8,111.6168623,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,16.33365,15.5112135
2014,34,2,NE,0,0.06,0.87,1,0,1,1,1,0.4825,1,3,3,2,4,0.0025,1,10,110.7949512,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,18.39413,15.94544932
2014,35,4,NW,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,6,29.65588494,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,14.83423,15.22298394
2014,36,4,NW,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,6,29.65588494,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,14.92208,15.22298394
2014,37,4,NW,0,0,0,0.01,0,0,0,1,0.0025,1,3,3,2,3,0,0,4,27.57387158,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,16.40456,15.8663071
2014,38,4,NW,0,0,0,0,0,0,0,0,0,0,4,4,0,2,0,0,4,29.01725438,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,16.01024,15.31509349
2014,39,4,NW,0,0,0,0,0,0,0,0,0,0,4,4,0,2,0,0,4,29.01725438,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,14.9016,15.31509349
2014,41,4,NW,0,0,0.02,0.02,0,0,1,1,0.01,1,3,3,2,5,0,0,3,27.9762477,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,15.73136,16.21039138
2014,42,4,NW,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,6,29.65588494,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,15.75296,15.22298394
2014,43,4,NW,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,4,27.57387158,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,17.40506,16.03599241
2014,44,4,NW,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,4,27.57387158,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,15.87822,15.75091464
2014,45,4,NW,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,4,29.01725438,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,15.30996,16.10292587
2014,46,5,NE,0,0,0,0.01,0,0,0,1,0.0025,1,2,2,2,4,0,0,12,40.81055777,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5,16.69199,16.63969917
2014,47,5,NE,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,9,15.4511752,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5,15.61664,15.95934079
2014,48,5,NE,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,2,3.732667965,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5,16.92575,16.32148994
2014,49,5,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,15.4511752,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5,16.08523,15.61834209
2014,50,5,NE,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,4,7.205084261,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5,15.8345,15.95934079
2014,51,5,NE,0,0,0.01,0,0,0,1,0,0.0025,1,1,1,2,3,0,0,4,7.205084261,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5,16.07215,16.25241982
2014,52,5,NE,0,0,0.14,0.16,0,0,1,1,0.075,1,4,0,2,4,0,0,9,28.27214541,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5,16.05376,16.09921611
2014,53,5,NE,0,0,0.08,0.25,0,0,1,1,0.0825,1,4,0,2,2,0,0,9,28.27214541,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5,16.51938,15.48440473
2014,54,5,NE,0,0,0.07,0.4,0,0,1,1,0.1175,1,4,0,2,1,0,0,9,28.27214541,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5,15.16929,15.44499194
2014,55,5,NE,0,0,0.1,0,0,0,1,0,0.025,1,4,0,2,4,0,0,9,28.27214541,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5,15.31166,16.09921611
2014,56,6,NW,0,0,0,0.43,0,0,0,1,0.1075,1,5,0,2,2,0,0,8,96.39946526,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,6,14.84758,15.0722089
2014,57,6,NW,0,0,0,0.01,0,0,0,1,0.0025,1,4,0,2,2,0,0,8,96.39946526,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,6,15.59627,15.0722089
2014,58,6,NW,0,0,0,0.19,0,0,0,1,0.0475,1,4,4,2,3,0,0,8,96.39946526,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,6,15.43825,15.53547217
2014,59,6,NW,0,0,0.03,0.43,0,0,1,1,0.115,1,4,0,2,2,0,0,8,96.39946526,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,6,14.58489,15.0722089
2014,60,6,NW,0,0,0,0.02,0,0,0,1,0.005,1,3,3,2,1,0,0,6,63.95562529,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,6,16.08843,15.55525486
2014,61,6,NW,0,0,0.06,0.18,0,0,1,1,0.06,1,4,0,2,2,0,0,8,96.39946526,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,6,16.05007,15.55357573
2014,62,6,NW,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,4,33.62382216,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,6,16.25296,16.46534775
2014,63,6,NW,0,0,0.02,0.01,0,0,1,1,0.0075,1,4,0,2,2,0,0,8,96.39946526,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,6,14.5664,15.0722089
2014,64,6,NW,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,6,63.95562529,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,6,16.0694,15.71721115
2014,65,6,NW,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,4,33.62382216,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,6,14.57613,15.75091464
2014,66,6,NW,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,4,33.62382216,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,6,16.95502,16.46534775
2014,67,7,SE,0,0,0,0.01,0,0,0,1,0.0025,1,4,4,2,1,0,0,10,100.8292138,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,17.17245,15.51441715
2014,68,7,SE,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,9,100.1905063,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,17.34765,16.85903199
2014,69,7,SE,0,0,0,0.02,0,0,0,1,0.005,1,1,1,2,2,0,0,9,100.1905063,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,15.8868,16.57039577
2014,70,7,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,37.85663214,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,16.94479,16.31080951
2014,71,7,SE,0,0,0.01,0.02,0,0,1,1,0.0075,1,1,1,1,3,0,0,11,115.9148165,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,17.26632,17.04667923
2014,72,7,SE,0,0,0.05,0.041237113,0,0,1,1,0.022809278,1,3,3,1,2,0,0,7,67.15703306,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,16.6332,16.29573595
2014,73,7,SE,0,0,0.01,0,0,0,1,0,0.0025,1,3,3,1,1,0,0,10,91.12410587,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,16.9862,16.19575528
2014,74,7,SE,0,0,0,0.01,0,0,0,1,0.0025,1,3,3,1,2,0,0,5,79.38954102,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,16.68677,16.29573595
2014,75,7,SE,0,0,0.04,0.03,0,0,1,1,0.0175,1,3,3,1,1,0,0,10,137.7761482,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,16.00799,16.19575528
2014,76,7,SE,0,0,0,0.01,0,0,0,1,0.0025,1,1,1,1,1,0,0,11,115.9148165,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,17.74615,16.66898486
2014,77,7,SE,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,11,115.9148165,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,17.98515,17.04667923
2014,78,7,SE,0,0,0.02,0.05,0,0,1,1,0.0175,1,3,3,2,1,0,0,10,137.7761482,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,16.53645,16.01800074
2014,79,7,SE,0,0,0,0.05,0,0,0,1,0.0125,1,3,3,2,2,0,0,10,91.12410587,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,17.31786,16.1151889
2014,81,7,SE,0,0,0.03,0.02,0,0,1,1,0.0125,1,3,3,1,2,0,0,7,67.15703306,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,15.55763,16.29573595
2014,82,7,SE,0,0,0,0.04,0,0,0,1,0.01,1,3,3,0,5,0,0,3,25.66987958,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,16.0497,16.9270015
2014,83,7,SE,0,0,0.05,0.06,0,0,1,1,0.0275,1,3,3,1,2,0,0,7,67.15703306,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,16.62578,16.29573595
2014,84,7,SE,0,0,0.03,0,0,0,1,0,0.0075,1,4,0,2,2,0,0,10,92.21500116,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,15.91079,15.49724743
2014,85,7,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,37.85663214,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,16.20501,16.31080951
2014,86,7,SE,0,0,0.01,0.03,0,0,1,1,0.01,1,3,3,1,3,0,0,3,25.66987958,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,15.75542,16.55222686
2014,87,7,SE,0,0,0.01,0,0,0,1,0,0.0025,1,1,1,2,4,0,0,5,50.29289788,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,18.0687,17.18032643
2014,88,7,SE,0,0.04,0.13,0.16,0,1,1,1,0.0825,1,3,3,1,2,0.005,1,7,67.15703306,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,17.86987,16.42356139
2014,89,7,SE,0,0,0,0.01,0,0,0,1,0.0025,1,3,3,1,1,0,0,10,91.12410587,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,16.28315,16.19575528
2014,90,7,SE,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,9,100.1905063,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,7,17.10376,16.66898486
2014,91,7,SW,0,0,0,0.02,0,0,0,1,0.005,1,3,3,1,3,0,0,7,67.15703306,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,7,15.59116,16.01044275
2014,92,7,SW,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,10,100.8292138,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,7,15.27159,15.91892511
2014,93,7,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,37.85663214,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,7,15.55479,15.7690337
2014,95,9,NE,0,0,0.28,0.05,0,0,1,1,0.0825,1,5,0,2,4,0,0,9,64.39851471,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,10,17.22378,15.92486378
2014,96,9,NE,0,0,1,0.3,0,0,1,1,0.325,1,4,0,2,3,0,0,8,66.30942099,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,10,14.74905,14.71162446
2014,97,9,NW,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,9,43.3984049,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,10,16.72115,16.63609796
2014,98,9,NW,0,0.01,0.02,0.06,0,1,1,1,0.0225,1,3,3,2,3,0.0025,1,10,66.45991319,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,10,13.87018,16.19786532
2014,99,9,NW,0,0,0.01,0.06,0,0,1,1,0.0175,1,3,3,2,4,0,0,9,42.87790156,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,10,15.79933,16.00344087
2014,100,9,NW,0,0,0.4,0.12,0,0,1,1,0.13,1,4,0,2,1,0,0,8,66.30942099,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,10,14.49406,14.5582432
2014,101,9,NW,0,0,0.75,0.36,0,0,1,1,0.2775,1,4,0,2,4,0,0,8,66.30942099,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,10,13.86037,15.11869877
2014,102,9,NW,0,0,0.49,0.48,0,0,1,1,0.2425,1,4,0,2,3,0,0,8,66.30942099,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,10,13.29524,14.70094529
2014,103,9,NW,0,0,0.01,0,0,0,1,0,0.0025,1,4,4,2,4,0,0,12,93.42735239,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,10,15.42914,15.6685537
2014,104,9,NW,0,0,0.89,0.22,0,0,1,1,0.2775,1,4,0,2,3,0,0,8,66.30942099,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,10,14.32692,14.70094529
2014,105,9,NW,0,0.01,0.09,0.1,0,1,1,1,0.05,1,3,3,2,5,0,0,8,32.83435108,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,10,13.47737,16.39292549
2014,106,9,NW,0,0.03,0.3,0.44,0,1,1,1,0.1925,1,5,0,2,5,0,0,9,64.39851471,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,10,13.82374,15.24967985
2014,107,9,NW,0.01,0,0.08,0.07,1,0,1,1,0.04,1,3,3,2,5,0,0,8,32.83435108,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,10,16.26965,16.39292549
2014,108,9,NW,0.08,0.2,1,0.89,1,1,1,1,0.5425,1,4,0,2,2,0.025,1,8,66.30942099,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,10,17.47862,14.63804508
2015,1,1,SW,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,5,81.95493704,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,18.00191,18.13969667
2015,2,1,SW,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,5,81.95493704,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,18.58619,17.11388256
2015,3,1,SW,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,5,81.95493704,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,17.22245,17.11388256
2015,4,1,SW,0,0,0,0,0,0,0,0,0,0,2,2,0,5,0,0,5,81.95493704,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,18.3423,18.2123414
2015,5,1,SE,0,0,0.01,0,0,0,1,0,0.0025,1,1,1,0,4,0,0,5,81.95493704,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,18.01149,18.55292236
2015,6,1,SW,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,5,81.95493704,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,17.57401,18.13969667
2015,7,1,SW,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,5,81.95493704,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,17.37126,17.11388256
2015,8,1,SE,0,0.005,0.24,0.03,0,1,1,1,0.06875,1,1,1,1,5,0.00125,1,5,81.95493704,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,16.07451,17.41248098
2015,9,1,NE,0,0.01,0.6,0,0,1,1,0,0.1525,1,2,2,1,4,0.0025,1,5,81.95493704,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,16.87596,16.77125575
2015,10,1,SE,0,0,0.08,0.08,0,0,1,1,0.04,1,2,2,1,5,0,0,5,81.95493704,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,19.07263,18.84858621
2015,11,1,NE,0.005,0,0.15,0,1,0,1,0,0.03875,1,4,4,1,5,0,0,5,81.95493704,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,17.05422,17.06885078
2015,12,1,NE,0,0,0.03,0,0,0,1,0,0.0075,1,3,3,0,4,0,0,5,81.95493704,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,17.14296,17.28839821
2015,13,1,SE,0,0,0.35,0.09,0,0,1,1,0.11,1,3,3,0,3,0,0,5,81.95493704,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,16.68107,16.83800695
2015,14,1,SW,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,5,81.95493704,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,18.56702,18.13969667
2015,15,1,SW,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,5,81.95493704,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,17.60614,17.11388256
2015,16,1,SE,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,5,81.95493704,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,18.92098,18.64667012
2015,17,1,SE,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,5,81.95493704,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,19.1209,18.64667012
2015,18,1,SE,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,5,81.95493704,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,18.10623,17.62313099
2015,19,1,SE,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,5,81.95493704,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,17.92722,18.14536946
2015,20,1,SW,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,5,81.95493704,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,17.74635,17.45976457
2015,22,2,NE,0,0,0.03,0.8,0,0,1,1,0.2075,1,4,4,0,4,0,0,10,88.42399855,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,17.25336,17.02253978
2015,23,2,NE,0,0,0.03,0.11,0,0,1,1,0.035,1,2,0,2,5,0,0,8,98.13398663,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,18.12982,17.62222676
2015,24,2,SE,0,0,0,0.01,0,0,0,1,0.0025,1,4,0,2,3,0,0,5,56.07053958,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,2,16.50704,15.89693744
2015,25,2,SE,0,0,0.02,0,0,0,1,0,0.005,1,4,0,2,2,0,0,5,56.07053958,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,2,16.29574,16.46246995
2015,26,2,SE,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,5,30.14943527,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,2,17.43717,17.63460201
