Quadrant,predictions
NE,144.3335575
NE,149.0163168
NE,156.5217088
NE,154.6345203
NE,150.3807727
NE,115.3623513
NE,150.8656403
NE,140.8867286
NW,123.3541031
NW,125.0291728
NW,140.7474167
NW,125.592856
NW,123.614064
NW,126.7583331
NW,140.7260305
NW,146.0823102
NW,129.9435787
NW,126.6467228
NW,144.7976906
SE,147.3468552
SE,141.9986663
SE,158.6553508
SE,163.814252
SE,141.9137499
SE,148.7426488
SE,150.0691845
SE,152.3451993
SE,166.7275032
SE,157.1034438
SE,145.7253355
SE,174.0699175
SE,143.3384297
SE,142.0727797
SE,145.8357655
SE,139.9799187
SE,141.3922773
SE,150.1578539
SE,179.2876917
SE,152.3614054
SE,153.500171
SE,141.5778106
SE,147.6339071
SE,161.4012321
SE,145.3043865
SE,160.4198439
SE,157.9819257
NW,154.0781386
NE,155.690504
NW,132.8274327
NW,134.2231364
NW,132.730916
NW,92.20388754
NW,100.4402718
NW,178.8145575
NW,144.1096036
NW,132.3685166
NW,138.8578704
NW,114.9083434
NW,116.7318738
SE,140.1452878
SE,157.4958571
NE,150.5219597
SE,141.202299
NE,151.6609059
NE,141.8847609
SE,128.9304036
SE,160.7498601
SE,138.2062434
SE,145.1556273
SE,148.4720581
NE,133.0501728
NE,123.6767554
NE,129.6143867
SE,137.169756
SE,113.6520634
NE,120.0846403
NE,221.937268
NE,68.69391729
NE,135.8696416
NE,142.886324
NE,141.7423028
NW,128.8054925
NW,127.5556808
NW,126.0177876
NW,137.8737258
NW,139.4860977
NW,138.0027176
NW,130.0297082
NW,188.824196
NW,136.8896748
NW,119.126939
NW,129.753484
NW,137.9140219
NW,127.8878042
NE,135.314722
NE,147.2728471
NE,140.5181811
NE,134.1083889
NE,128.1987331
NE,117.7037661
NE,126.1527984
NE,140.16224
NE,106.3852789
NW,134.7022533
NW,136.2074891
NW,137.9716053
NW,110.1052632
NW,111.4473717
NW,140.8694041
NW,135.5944774
SE,157.2234836
SE,141.473484
SE,152.5229797
SE,137.0863868
SE,119.3465087
SE,151.0248749
SE,119.3667211
SE,160.2434525
SE,148.6491053
SE,143.8118847
SE,138.0741368
SE,122.1442083
SE,129.3170936
SE,160.1187691
SE,156.597713
SE,146.0234895
SE,136.0153022
SE,120.0537195
SE,130.5677087
SE,115.8721002
SE,143.9666762
SE,134.1491796
SE,149.7531585
SE,142.1768052
NE,124.1119382
NE,95.61571502
NW,108.5248194
NW,109.5557155
NW,145.9995949
NW,122.8542838
NW,108.4623859
NW,131.3007058
NW,121.554866
NW,113.6960908
NW,150.2367378
NW,121.7752117
SE,149.8171902
SE,133.3435724
SE,145.3463382
NE,142.2538367
NE,157.733854
SE,147.4869637
SE,146.4853455
SE,147.284342
SE,148.947581
SE,153.3296816
NE,136.804601
NE,132.336564
NE,62.60146469
SE,101.1887274
NE,145.8014025
SE,118.1455806
SE,133.565593
NE,118.7290145
NE,150.0915369
NE,146.3102909
NE,144.430108
NE,145.8238934
NE,119.5547229
NW,141.1259385
NW,137.1688525
NW,133.4085193
NW,126.8108665
NW,128.7358877
NW,131.2450253
NW,115.3105502
NW,147.9383733
NW,123.6213282
NW,131.4827677
NW,140.7388026
NW,135.3576353
NW,131.9444657
NE,135.0718494
NE,136.8598745
NE,139.7352372
NE,126.496506
NW,147.3602383
NE,175.3413567
NE,153.4632747
NE,138.488525
NE,124.7523725
NE,133.1194277
NE,140.658553
NE,128.1525218
NE,140.7974548
NW,127.4383042
NW,142.6874211
NW,142.4044445
NW,145.2903041
NW,145.0627221
NW,131.0921629
NW,126.4895002
NW,130.3556394
NW,133.218334
NW,117.618431
NW,141.260879
SE,122.5990966
SE,141.6012636
SE,149.1242836
SE,144.8811105
SE,139.4331061
SE,138.0856772
SE,154.614883
SE,179.416607
SE,148.6344894
SE,150.8653382
SE,133.538349
SE,149.092699
SE,153.5207541
SE,162.0732027
SE,107.7852172
SE,148.6572788
SE,131.2999222
SE,149.9449453
SE,137.4878245
SE,131.7435492
NW,122.6171134
NE,143.3813497
NE,145.010386
NW,124.15755
NW,150.3230654
NW,141.5478824
NW,130.3261933
NW,128.4378925
NW,114.9281226
NW,145.8982835
NW,132.6777161
NW,98.81683061
